NOMBRE,LINEA,SISTEMA,TIPO,ALCALDIAS,AÑO,CVE_EST,lon,lat,afluencia
Pantitlán,1,STC Metro,Terminal / Transbordo,Venustiano Carranza,1984,STC0101,-99.07473573,19.41633409,38025.48497
Zaragoza,1,STC Metro,Intermedia,Venustiano Carranza,1969,STC0102,-99.08228881,19.41192046,23064.42623
Gomez Farías,1,STC Metro,Intermedia,Venustiano Carranza,1969,STC0103,-99.09021039,19.41647846,19903.29235
Boulevard Puerto Aéreo,1,STC Metro,Intermedia,Venustiano Carranza,1969,STC0104,-99.09625873,19.41994196,16483.03825
Balbuena,1,STC Metro,Intermedia,Venustiano Carranza,1969,STC0105,-99.10277436,19.42335534,7444.852459
Moctezuma,1,STC Metro,Intermedia,Venustiano Carranza,1969,STC0106,-99.10979927,19.42685435,16600.97268
San Lázaro,1,STC Metro,Transbordo,Venustiano Carranza,1969,STC0107,-99.11426095,19.43005885,16760.85929
Candelaria,1,STC Metro,Transbordo,Venustiano Carranza,1969,STC0108,-99.12090955,19.42954014,12367.3347
Merced,1,STC Metro,Intermedia,Venustiano Carranza,1969,STC0109,-99.12502542,19.42548757,34632.44262
Pino Suárez,1,STC Metro,Transbordo,Cuauhtémoc,1969,STC0110,-99.13263861,19.4259235,27260.75273
Isabel La Católica,1,STC Metro,Intermedia,Cuauhtémoc,1969,STC0111,-99.13783046,19.42639351,13363.25683
Salto del Agua,1,STC Metro,Transbordo,Cuauhtémoc,1969,STC0112,-99.14340629,19.42694819,11896.94809
Balderas,1,STC Metro,Transbordo,Cuauhtémoc,1969,STC0113,-99.14948115,19.42699788,13640.40984
Cuauhtémoc,1,STC Metro,Intermedia,Cuauhtémoc,1969,STC0114,-99.15459795,19.42566111,8487.076503
Insurgentes,1,STC Metro,Intermedia,Cuauhtémoc,1969,STC0115,-99.16328888,19.4236518,21322.51913
Sevilla,1,STC Metro,Intermedia,Cuauhtémoc,1969,STC0116,-99.17111907,19.42184992,12651.39617
Chapultepec,1,STC Metro,Intermedia,Cuauhtémoc / Miguel Hidalgo,1969,STC0117,-99.17641673,19.4207463,28300.54372
Juanacatlán,1,STC Metro,Intermedia,Miguel Hidalgo,1970,STC0118,-99.18198383,19.41295164,664.2076503
Tacubaya,1,STC Metro,Transbordo,Miguel Hidalgo,1970,STC0119,-99.18763653,19.4025138,22447.74135
Observatorio,1,STC Metro,Terminal,Álvaro Obregón,1972,STC0120,-99.20040475,19.39828238,3888.095628
