X,Y,Z,Name,ALCALDIAS,AÑO,CVE_EOD17,CVE_EST,EST,FID,Field_1,LINEA,NOMBRE,SISTEMA,TIPO
-99.07473573,19.41633409,0,STC Metro,Venustiano Carranza,1984,5014,STC0101,1,0,STC Metro,1,Pantitlán,STC Metro,Terminal / Transbordo
-99.08228881,19.41192046,0,STC Metro,Venustiano Carranza,1969,5020,STC0102,2,1,STC Metro,1,Zaragoza,STC Metro,Intermedia
-99.09021039,19.41647846,0,STC Metro,Venustiano Carranza,1969,5007,STC0103,3,2,STC Metro,1,Gomez Farías,STC Metro,Intermedia
-99.09625873,19.41994196,0,STC Metro,Venustiano Carranza,1969,5003,STC0104,4,3,STC Metro,1,Boulevard Puerto Aéreo,STC Metro,Intermedia
-99.10277436,19.42335534,0,STC Metro,Venustiano Carranza,1969,5001,STC0105,5,4,STC Metro,1,Balbuena,STC Metro,Intermedia
-99.10979927,19.42685435,0,STC Metro,Venustiano Carranza,1969,5012,STC0106,6,5,STC Metro,1,Moctezuma,STC Metro,Intermedia
-99.11426095,19.43005885,0,STC Metro,Venustiano Carranza,1969,5017,STC0107,7,6,STC Metro,1,San Lázaro,STC Metro,Transbordo
-99.12090955,19.42954014,0,STC Metro,Venustiano Carranza,1969,5004,STC0108,8,7,STC Metro,1,Candelaria,STC Metro,Transbordo
-99.12502542,19.42548757,0,STC Metro,Venustiano Carranza,1969,5011,STC0109,9,8,STC Metro,1,Merced,STC Metro,Intermedia
-99.13263861,19.4259235,0,STC Metro,Cuauhtémoc,1969,5015,STC0110,10,9,STC Metro,1,Pino Suárez,STC Metro,Transbordo
-99.13783046,19.42639351,0,STC Metro,Cuauhtémoc,1969,5009,STC0111,11,10,STC Metro,1,Isabel La Católica,STC Metro,Intermedia
-99.14340629,19.42694819,0,STC Metro,Cuauhtémoc,1969,5016,STC0112,12,11,STC Metro,1,Salto del Agua,STC Metro,Transbordo
-99.14948115,19.42699788,0,STC Metro,Cuauhtémoc,1969,5002,STC0113,13,12,STC Metro,1,Balderas,STC Metro,Transbordo
-99.15459795,19.42566111,0,STC Metro,Cuauhtémoc,1969,5006,STC0114,14,13,STC Metro,1,Cuauhtémoc,STC Metro,Intermedia
-99.16328888,19.4236518,0,STC Metro,Cuauhtémoc,1969,5008,STC0115,15,14,STC Metro,1,Insurgentes,STC Metro,Intermedia
-99.17111907,19.42184992,0,STC Metro,Cuauhtémoc,1969,5018,STC0116,16,15,STC Metro,1,Sevilla,STC Metro,Intermedia
-99.17641673,19.4207463,0,STC Metro,Cuauhtémoc / Miguel Hidalgo,1969,5005,STC0117,17,16,STC Metro,1,Chapultepec,STC Metro,Intermedia
-99.18198383,19.41295164,0,STC Metro,Miguel Hidalgo,1970,5010,STC0118,18,17,STC Metro,1,Juanacatlán,STC Metro,Intermedia
-99.18763653,19.4025138,0,STC Metro,Miguel Hidalgo,1970,5019,STC0119,19,18,STC Metro,1,Tacubaya,STC Metro,Transbordo
-99.20040475,19.39828238,0,STC Metro,Álvaro Obregón,1972,5013,STC0120,20,19,STC Metro,1,Observatorio,STC Metro,Terminal
-99.21584249,19.45959321,0,STC Metro,Estado de México - Naucalpan de Juárez,1984,5045,STC0201,1,20,STC Metro,2,Cuatro Caminos,STC Metro,Terminal
-99.20294913,19.45863856,0,STC Metro,Miguel Hidalgo,1984,5052,STC0202,2,21,STC Metro,2,Panteones,STC Metro,Intermedia
-99.18823093,19.45937601,0,STC Metro,Miguel Hidalgo,1970,5059,STC0203,3,22,STC Metro,2,Tacuba,STC Metro,Transbordo
-99.18149577,19.45725389,0,STC Metro,Miguel Hidalgo,1970,5046,STC0204,4,23,STC Metro,2,Cuitláhuac,STC Metro,Intermedia
-99.17549381,19.45290922,0,STC Metro,Miguel Hidalgo,1970,5054,STC0205,5,24,STC Metro,2,Popotla,STC Metro,Intermedia
-99.17177923,19.44927355,0,STC Metro,Miguel Hidalgo,1970,5044,STC0206,6,25,STC Metro,2,Colegio Militar,STC Metro,Intermedia
-99.16727404,19.44455771,0,STC Metro,Miguel Hidalgo,1970,5051,STC0207,7,26,STC Metro,2,Normal,STC Metro,Intermedia
-99.16066207,19.44190425,0,STC Metro,Cuauhtémoc,1970,5058,STC0208,8,27,STC Metro,2,San Cosme,STC Metro,Intermedia
-99.15422783,19.43922718,0,STC Metro,Cuauhtémoc,1970,5056,STC0209,9,28,STC Metro,2,Revolución,STC Metro,Intermedia
-99.14722341,19.43754675,0,STC Metro,Cuauhtémoc,1970,5049,STC0210,10,29,STC Metro,2,Hidalgo,STC Metro,Transbordo
-99.14161364,19.43637776,0,STC Metro,Cuauhtémoc,1970,5042,STC0211,11,30,STC Metro,2,Bellas Artes,STC Metro,Transbordo
-99.13686784,19.435558,0,STC Metro,Cuauhtémoc,1970,5041,STC0212,12,31,STC Metro,2,Allende,STC Metro,Intermedia
-99.13225107,19.43250191,0,STC Metro,Cuauhtémoc,1970,5064,STC0213,13,32,STC Metro,2,Zócalo/Tenochtitlan,STC Metro,Intermedia
-99.13294183,19.42438471,0,STC Metro,Cuauhtémoc,1970,5053,STC0214,14,33,STC Metro,2,Pino Suárez,STC Metro,Transbordo
-99.13453987,19.41602165,0,STC Metro,Cuauhtémoc,1970,5057,STC0215,15,34,STC Metro,2,San Antonio Abad,STC Metro,Intermedia
-99.13561812,19.40917987,0,STC Metro,Cuauhtémoc,1970,5043,STC0216,16,35,STC Metro,2,Chabacano,STC Metro,Transbordo
-99.13689959,19.40086866,0,STC Metro,Benito Juárez / Iztacalco,1970,5061,STC0217,17,36,STC Metro,2,Viaducto,STC Metro,Intermedia
-99.13780818,19.39521051,0,STC Metro,Benito Juárez,1970,5063,STC0218,18,37,STC Metro,2,Xola,STC Metro,Intermedia
-99.13895917,19.38758178,0,STC Metro,Benito Juárez,1970,5062,STC0219,19,38,STC Metro,2,Villa de Cortés,STC Metro,Intermedia
-99.14018789,19.37953276,0,STC Metro,Benito Juárez,1970,5050,STC0220,20,39,STC Metro,2,Nativitas,STC Metro,Intermedia
