X,Y,Z,Name,FID,Field_1,LINEA,RUTA,SISTEMA
-99.07473573,19.41633409,0,STC Metro,0,STC Metro,1,Observatorio - Pantitlàn,STC Metro
-99.07525831,19.41237647,0,STC Metro,0,STC Metro,1,Observatorio - Pantitlàn,STC Metro
-99.07535328,19.41182446,0,STC Metro,0,STC Metro,1,Observatorio - Pantitlàn,STC Metro
-99.07543975,19.41156111,0,STC Metro,0,STC Metro,1,Observatorio - Pantitlàn,STC Metro
-99.07554056,19.41137141,0,STC Metro,0,STC Metro,1,Observatorio - Pantitlàn,STC Metro
-99.07637382,19.41015579,0,STC Metro,0,STC Metro,1,Observatorio - Pantitlàn,STC Metro
-99.07656778,19.40995724,0,STC Metro,0,STC Metro,1,Observatorio - Pantitlàn,STC Metro
-99.07677183,19.40980891,0,STC Metro,0,STC Metro,1,Observatorio - Pantitlàn,STC Metro
-99.0769608,19.40971558,0,STC Metro,0,STC Metro,1,Observatorio - Pantitlàn,STC Metro
-99.07720017,19.40963657,0,STC Metro,0,STC Metro,1,Observatorio - Pantitlàn,STC Metro
-99.07749752,19.40958623,0,STC Metro,0,STC Metro,1,Observatorio - Pantitlàn,STC Metro
-99.07782512,19.4095813,0,STC Metro,0,STC Metro,1,Observatorio - Pantitlàn,STC Metro
-99.07798138,19.40960037,0,STC Metro,0,STC Metro,1,Observatorio - Pantitlàn,STC Metro
-99.07819057,19.40963853,0,STC Metro,0,STC Metro,1,Observatorio - Pantitlàn,STC Metro
-99.07850058,19.40972926,0,STC Metro,0,STC Metro,1,Observatorio - Pantitlàn,STC Metro
-99.07878037,19.40985826,0,STC Metro,0,STC Metro,1,Observatorio - Pantitlàn,STC Metro
-99.08002566,19.41059897,0,STC Metro,0,STC Metro,1,Observatorio - Pantitlàn,STC Metro
-99.08198436,19.41174583,0,STC Metro,0,STC Metro,1,Observatorio - Pantitlàn,STC Metro
-99.08789109,19.41513367,0,STC Metro,0,STC Metro,1,Observatorio - Pantitlàn,STC Metro
-99.09272516,19.41793652,0,STC Metro,0,STC Metro,1,Observatorio - Pantitlàn,STC Metro
-99.09820397,19.42104592,0,STC Metro,0,STC Metro,1,Observatorio - Pantitlàn,STC Metro
-99.09950441,19.42171009,0,STC Metro,0,STC Metro,1,Observatorio - Pantitlàn,STC Metro
-99.10177796,19.4228571,0,STC Metro,0,STC Metro,1,Observatorio - Pantitlàn,STC Metro
-99.10748477,19.42571058,0,STC Metro,0,STC Metro,1,Observatorio - Pantitlàn,STC Metro
-99.11240597,19.42814246,0,STC Metro,0,STC Metro,1,Observatorio - Pantitlàn,STC Metro
-99.11291327,19.42840087,0,STC Metro,0,STC Metro,1,Observatorio - Pantitlàn,STC Metro
-99.11326929,19.42860795,0,STC Metro,0,STC Metro,1,Observatorio - Pantitlàn,STC Metro
-99.11348401,19.42876386,0,STC Metro,0,STC Metro,1,Observatorio - Pantitlàn,STC Metro
-99.11366862,19.42893877,0,STC Metro,0,STC Metro,1,Observatorio - Pantitlàn,STC Metro
-99.11382905,19.42912518,0,STC Metro,0,STC Metro,1,Observatorio - Pantitlàn,STC Metro
-99.1139456,19.42928148,0,STC Metro,0,STC Metro,1,Observatorio - Pantitlàn,STC Metro
-99.11402815,19.42943172,0,STC Metro,0,STC Metro,1,Observatorio - Pantitlàn,STC Metro
-99.11458085,19.43092058,0,STC Metro,0,STC Metro,1,Observatorio - Pantitlàn,STC Metro
-99.11472249,19.43118576,0,STC Metro,0,STC Metro,1,Observatorio - Pantitlàn,STC Metro
-99.1148455,19.43138295,0,STC Metro,0,STC Metro,1,Observatorio - Pantitlàn,STC Metro
-99.11496541,19.43156737,0,STC Metro,0,STC Metro,1,Observatorio - Pantitlàn,STC Metro
-99.11504563,19.43166201,0,STC Metro,0,STC Metro,1,Observatorio - Pantitlàn,STC Metro
-99.11517577,19.43178674,0,STC Metro,0,STC Metro,1,Observatorio - Pantitlàn,STC Metro
-99.11531798,19.43187273,0,STC Metro,0,STC Metro,1,Observatorio - Pantitlàn,STC Metro
-99.11545513,19.43192835,0,STC Metro,0,STC Metro,1,Observatorio - Pantitlàn,STC Metro
-99.1155595,19.43195411,0,STC Metro,0,STC Metro,1,Observatorio - Pantitlàn,STC Metro
-99.11567973,19.43196838,0,STC Metro,0,STC Metro,1,Observatorio - Pantitlàn,STC Metro
-99.11586197,19.43197903,0,STC Metro,0,STC Metro,1,Observatorio - Pantitlàn,STC Metro
-99.11608794,19.43198648,0,STC Metro,0,STC Metro,1,Observatorio - Pantitlàn,STC Metro
-99.11664295,19.43198756,0,STC Metro,0,STC Metro,1,Observatorio - Pantitlàn,STC Metro
-99.11706941,19.43200307,0,STC Metro,0,STC Metro,1,Observatorio - Pantitlàn,STC Metro
-99.11790724,19.43205417,0,STC Metro,0,STC Metro,1,Observatorio - Pantitlàn,STC Metro
-99.11819913,19.43208267,0,STC Metro,0,STC Metro,1,Observatorio - Pantitlàn,STC Metro
-99.11948492,19.43224323,0,STC Metro,0,STC Metro,1,Observatorio - Pantitlàn,STC Metro
-99.11962844,19.43224104,0,STC Metro,0,STC Metro,1,Observatorio - Pantitlàn,STC Metro
-99.11974572,19.43223206,0,STC Metro,0,STC Metro,1,Observatorio - Pantitlàn,STC Metro
-99.11990292,19.43219643,0,STC Metro,0,STC Metro,1,Observatorio - Pantitlàn,STC Metro
-99.12009943,19.43210656,0,STC Metro,0,STC Metro,1,Observatorio - Pantitlàn,STC Metro
-99.12030922,19.43196458,0,STC Metro,0,STC Metro,1,Observatorio - Pantitlàn,STC Metro
-99.12050523,19.43178243,0,STC Metro,0,STC Metro,1,Observatorio - Pantitlàn,STC Metro
-99.12069363,19.43156776,0,STC Metro,0,STC Metro,1,Observatorio - Pantitlàn,STC Metro
-99.12076789,19.43140404,0,STC Metro,0,STC Metro,1,Observatorio - Pantitlàn,STC Metro
-99.12082317,19.43119724,0,STC Metro,0,STC Metro,1,Observatorio - Pantitlàn,STC Metro
-99.12084937,19.43096831,0,STC Metro,0,STC Metro,1,Observatorio - Pantitlàn,STC Metro
-99.12087012,19.43057262,0,STC Metro,0,STC Metro,1,Observatorio - Pantitlàn,STC Metro
-99.12090815,19.42960355,0,STC Metro,0,STC Metro,1,Observatorio - Pantitlàn,STC Metro
-99.12097674,19.42649397,0,STC Metro,0,STC Metro,1,Observatorio - Pantitlàn,STC Metro
-99.12099716,19.42621209,0,STC Metro,0,STC Metro,1,Observatorio - Pantitlàn,STC Metro
-99.12109523,19.42591313,0,STC Metro,0,STC Metro,1,Observatorio - Pantitlàn,STC Metro
-99.12121949,19.42566683,0,STC Metro,0,STC Metro,1,Observatorio - Pantitlàn,STC Metro
-99.1213734,19.42547059,0,STC Metro,0,STC Metro,1,Observatorio - Pantitlàn,STC Metro
-99.12150941,19.42535334,0,STC Metro,0,STC Metro,1,Observatorio - Pantitlàn,STC Metro
-99.12171221,19.42523365,0,STC Metro,0,STC Metro,1,Observatorio - Pantitlàn,STC Metro
-99.12195381,19.4251293,0,STC Metro,0,STC Metro,1,Observatorio - Pantitlàn,STC Metro
-99.12212542,19.42508034,0,STC Metro,0,STC Metro,1,Observatorio - Pantitlàn,STC Metro
-99.12227789,19.42505752,0,STC Metro,0,STC Metro,1,Observatorio - Pantitlàn,STC Metro
-99.12243793,19.42505861,0,STC Metro,0,STC Metro,1,Observatorio - Pantitlàn,STC Metro
-99.12313794,19.42514487,0,STC Metro,0,STC Metro,1,Observatorio - Pantitlàn,STC Metro
-99.12336468,19.42517434,0,STC Metro,0,STC Metro,1,Observatorio - Pantitlàn,STC Metro
-99.12351937,19.42520144,0,STC Metro,0,STC Metro,1,Observatorio - Pantitlàn,STC Metro
-99.12566833,19.42560971,0,STC Metro,0,STC Metro,1,Observatorio - Pantitlàn,STC Metro
-99.12579437,19.42563258,0,STC Metro,0,STC Metro,1,Observatorio - Pantitlàn,STC Metro
-99.12604845,19.42567257,0,STC Metro,0,STC Metro,1,Observatorio - Pantitlàn,STC Metro
-99.12688681,19.42579752,0,STC Metro,0,STC Metro,1,Observatorio - Pantitlàn,STC Metro
-99.12810277,19.42598796,0,STC Metro,0,STC Metro,1,Observatorio - Pantitlàn,STC Metro
-99.12842946,19.42605372,0,STC Metro,0,STC Metro,1,Observatorio - Pantitlàn,STC Metro
-99.12883679,19.42611656,0,STC Metro,0,STC Metro,1,Observatorio - Pantitlàn,STC Metro
